start_time,end_time,text,speaker
00:00:00.000,00:00:02.000,"Okay, it's recording.",UNKNOWN
00:00:02.000,00:00:04.000,"Oh, yeah, so we should probably",UNKNOWN
00:00:04.000,00:00:06.000,get some more.,UNKNOWN
00:00:06.000,00:00:07.000,Perfect.,UNKNOWN
00:00:07.000,00:00:11.000,"Okay, same number one, same number one.",UNKNOWN
00:00:11.000,00:00:13.000,"No, no, no, no.",UNKNOWN
00:00:13.000,00:00:15.000,"Three, two, one.",UNKNOWN
00:00:15.000,00:00:17.000,Is it the other experiment?,UNKNOWN
00:00:17.000,00:00:19.000,"Yes, we're going to need to see that.",UNKNOWN
00:00:19.000,00:00:21.000,"Okay, I'm just going to mount this down.",UNKNOWN
00:00:21.000,00:00:24.000,"Yeah, we're going to do it again with you guys.",UNKNOWN
00:00:24.000,00:00:26.000,You can drink coffee.,UNKNOWN
00:00:26.000,00:00:27.000,"Yeah, sure.",UNKNOWN
00:00:27.000,00:00:29.000,"Okay, are you going to give you guys this scenario?",UNKNOWN
00:00:29.000,00:00:31.000,Tom's getting.,UNKNOWN
00:00:31.000,00:00:45.000,"So the setting is that you're in emergency area of a community hospital that has surgical capabilities, portable x-ray bedside ultrasound and a blood bank with all blood components available.",UNKNOWN
00:00:45.000,00:00:50.000,The nearest referral center to you is 70 kilometers away.,UNKNOWN
00:00:50.000,00:00:55.000,Ground and air transports are available.,UNKNOWN
00:00:55.000,00:00:56.000,We have two physicians.,UNKNOWN
00:00:56.000,00:00:59.000,We have a nurse and a respiratory therapist.,UNKNOWN
00:00:59.000,00:01:07.000,"There are a general surgeon and anesthesiologists that are available in your community, but they're 50 minutes away.",UNKNOWN
00:01:07.000,00:01:09.000,So here's the background of the case.,UNKNOWN
00:01:09.000,00:01:15.000,You have a 35 year old male who sustained a knife injury to the left chest.,UNKNOWN
00:01:15.000,00:01:20.000,And it reported domestic dispute five minutes prior to the ambulance arrival.,UNKNOWN
00:01:20.000,00:01:31.000,There is a two centimeter sucking stab wound that is present to the left third intercostal space just into the next layer of life.,UNKNOWN
00:01:31.000,00:01:35.000,The initial vitals during transport are 80 or 40.,UNKNOWN
00:01:35.000,00:01:42.000,"Our rate of 140, respiratory rate is 32 and Spo2 is 80%.",UNKNOWN
